code_commune,population
44001,2092
44002,4263
44003,11769
44005,7400
44006,1928
44007,2515
44009,9832
44010,2894
44012,3568
44013,3359
44014,4038
44015,10527
44016,1131
44018,8419
44019,1112
44020,20893
44021,5089
44022,2865
44023,3112
44024,2815
44025,4098
44026,21124
44027,2644
44028,4116
44029,7275
44030,4519
44031,826
44032,3515
44033,3312
44035,21056
44036,12662
44037,3350
44038,3074
44039,1188
44041,6449
44043,7737
44044,1097
44045,4003
44046,2674
44047,23808
44048,2578
44049,4138
44050,3047
44051,3915
44052,8201
44053,2327
44054,3122
44055,17164
44056,3915
44057,2313
44058,511
44061,3345
44062,1911
44063,3880
44064,5447
44065,790
44066,7023
44067,5347
44068,3640
44069,17259
44070,4850
44071,6148
44072,7302
44073,6647
44074,4221
44075,1863
44076,1402
44077,2786
44078,331
44079,3580
44080,786
44081,4886
44082,5701
44083,2522
44084,8747
44085,981
44086,1087
44087,7896
44088,3124
44089,3743
44090,1601
44091,1563
44092,678
44094,3461
44095,1614
44096,4775
44097,2206
44098,5717
44099,2024
44100,2399
44101,6657
44102,3418
44103,7385
44104,850
44105,363
44106,1866
44107,2036
44108,2953
44109,329809
44110,9639
44111,2374
44112,590
44113,4369
44114,28949
44115,3995
44116,3129
44117,3431
44118,1481
44119,2071
44120,5555
44121,441
44122,3936
44123,1026
44124,841
44125,2725
44126,4692
44127,2844
44128,5385
44129,11557
44130,7027
44131,18868
44132,12837
44133,3099
44134,1071
44135,4114
44136,1275
44137,3623
44138,1141
44139,1563
44140,1585
44141,1301
44142,1970
44143,44055
44144,2409
44145,3324
44146,2191
44148,717
44149,4133
44150,4043
44151,7130
44152,3067
44153,1798
44154,15008
44155,3571
44156,3253
44157,1785
44158,7934
44159,1272
44161,3860
44162,51282
44163,4999
44164,2423
44165,2452
44166,6122
44168,4182
44169,7892
44170,983
44171,2142
44172,16512
44173,2163
44174,2431
44175,5352
44176,3273
44178,2690
44179,5520
44180,6734
44182,5623
44183,2919
44184,74778
44185,3367
44186,7354
44187,4847
44188,9597
44189,2481
44190,28996
44192,2902
44193,1548
44194,8662
44195,9658
44196,1719
44197,1692
44198,9280
44199,2014
44200,347
44201,7629
44202,1845
44203,2041
44204,11123
44205,2654
44206,1963
44207,1134
44208,984
44209,10621
44210,8316
44211,4971
44212,9738
44213,7636
44214,2125
44215,26487
44216,4169
44217,6730
44218,702
44220,1739
44221,1583
44222,1277
44223,3757
44224,1837
