code_commune,prix_moyen
44001,114389.51803738317
44002,326620.92415458936
44003,392454.0768527919
44005,126177.74105802049
44006,176345.47036585366
44007,110925.04548286604
44009,496040.43115384615
44010,357533.9848510638
44012,286442.2394676806
44013,128116.7703517588
44014,649873.1787296417
44015,142313.83346695558
44016,129224.62043010752
44018,332371.17090322584
44019,168412.8962264151
44020,382119.55504360463
44021,272743.0935434783
44022,570826.633974359
44023,143069.5056585366
44024,141007.18329896906
44025,292378.80443113775
44026,470907.33645833336
44027,129199.18434108526
44028,168389.42482758622
44029,153555.1841791045
44030,136658.80052770447
44031,91606.27906976744
44032,166801.43818181817
44033,271855.2166917293
44035,376176.7229477612
44036,170620.94424496643
44037,187340.1975925926
44038,176161.79842323653
44039,104155.84583333334
44041,201031.31646666667
44043,748942.7289527027
44044,129206.61530864198
44045,226105.10330357144
44046,247971.6852830189
44047,277781.5363673058
44048,86175.034875
44049,350696.7046866485
44050,160827.5992857143
44051,174839.85895833335
44052,237053.13086206897
44053,204030.63129032258
44054,130633.08274881517
44055,517621.7525490196
44056,148427.17502183406
44057,131847.5123404255
44058,72504.78666666667
44061,125559.51550660793
44062,159027.59921568626
44063,175385.73401785715
44064,83674.80753424657
44065,80747.76813186814
44066,239020.27313761468
44067,130216.72093495936
44068,120591.5394
44069,380233.23748991935
44070,236351.78164948453
44071,384258.1687356322
44072,185616.69910662825
44073,225467.25905660377
44074,209204.89880952382
44075,91361.176
44076,436878.1454411765
44077,133916.58444444445
44078,85793.03448275862
44079,120508.84150943397
44080,138928.5901075269
44081,364359.79349900596
44082,187517.98627118644
44083,148390.00987654322
44084,129124.8931661442
44085,100588.0948275862
44086,861806.9109090909
44087,168813.79681399633
44088,72447.84118686868
44089,165083.2404968944
44090,90204.69414634147
44091,126891.41237113402
44092,95178.36918367347
44094,214253.11798657716
44095,48145.25795454546
44096,232765.164048583
44097,356517.5603351955
44098,197497.55122194515
44099,107276.11723404255
44100,143535.63340248962
44101,242843.7436746988
44102,195946.03179856113
44103,220546.8484304933
44104,107551.650647482
44105,56437.96153846154
44106,258581.7201351351
44107,144103.40125
44108,151779.44475324673
44109,761577.4126911208
44110,213721.5678886311
44111,112918.23408560311
44112,82653.40000000001
44113,296306.85873605945
44114,4204704.54081767
44115,230712.47383512545
44116,141266.17269076305
44117,167082.54280254777
44118,83280.19822916666
44119,162427.11573643412
44120,170218.05360215052
44121,123886.34509803921
44122,227040.9948739496
44123,89626.21528089888
44124,126726.04156862745
44125,439624.6572687225
44126,304346.8560923077
44127,112625.43176991149
44128,136447.1112865497
44129,207008.65923076923
44130,223125.68071428573
44131,486502.36653078924
44132,459268.55100553506
44133,161513.39992727272
44134,133023.69743589745
44135,356912.3484962406
44136,394324.6787878788
44137,177834.53165048544
44138,123630.46115789474
44139,104320.0129496403
44140,117753.72883116882
44141,102668.84157894737
44142,83814.23287671233
44143,665172.6223564144
44144,341054.6470526316
44145,193139.04886075947
44146,349749.7663716814
44148,89850.36294573643
44149,148541.7750515464
44150,216259.1168
44151,379487.0423643411
44152,153678.13477011494
44153,117524.9614213198
44154,324226.5606195652
44155,158558.91833333333
44156,118528.85972222223
44157,111698.98963768117
44158,298335.7595486111
44159,204468.41911764705
44161,147863.94146341464
44162,380453.0947402276
44163,196351.91109589042
44164,177328.95139013452
44165,115699.253592233
44166,159490.13857142857
44168,157905.50910596026
44169,256615.39870619946
44170,81030.94
44171,227271.36153846156
44172,356498.732448
44173,74765.5783625731
44174,271311.43060810806
44175,322722.5079824561
44176,116078.66724137931
44178,122446.68886666665
44179,237519.57651741296
44180,161981.53296089385
44182,283104.98572115385
44183,353527.9195945946
44184,330444.9635968601
44185,199644.23760135134
44186,194501.10888888888
44187,249078.78954545455
44188,192718.37015695067
44189,189790.7055140187
44190,375587.893697632
44192,201914.05277777778
44193,115880.02081632653
44194,620112.3540425531
44195,273602.2350458716
44196,102820.87561403509
44197,65257.97071038252
44198,403840.86477024073
44199,95371.63549019609
44200,63561.03390625
44201,522281.21015189873
44202,215054.5124161074
44203,212599.2323015873
44204,316078.563457249
44205,137732.25983606555
44206,118612.83552631579
44207,157899.50625
44208,609101.7342857143
44209,268057.34795795794
44210,178069.2843206522
44211,290724.7219770115
44212,253090.92729138167
44213,115896.70751037345
44214,80411.93983870967
44215,384808.7468310428
44216,421000.4507507507
44217,245012.94234527685
44218,72758.39162790697
44220,115335.98707317072
44221,211489.728515625
44222,126859.88765957447
44223,573624.5934693877
44224,167304.41477272726
